job_name,company_name,job_type,job_category,job_sub_category,sallary,job_id,job_desc
Data Analyst (Business Intelligence) Officer,PT Kokoh Inti Arebama Tbk (Group of SCG Indonesia),Full,Analis Bisnis/SistemAnalis Bisnis/Sistem,Teknologi,,79167126,"Job DescriptionCollect and translate business requirementCommunicate business requirements to IT supports, data engineers, and external vendorsDesign, development and implementation of reporting solutionRequirementBachelor’s degree fromMathematics, Statistics, or equivalentMinimum 1 years experienced as Business Intelligence Analyst.Experience withERP (SAP), CRM (i.e. Salesforce)Knowledge of SQL Database and queries, have experience with power BI will be advantageHave passion in data modelling, problem visualization through data, predictive analysis and developing optimization algorithms.Have excellent problem-solving, analytical, communication, and presentation skills.Have a strong motivation to learn."
Electrical Engineer Data center - MEP DATA Center,PT YPTT Solutions Indonesia,Kontrak,Teknik Elektro/ElektronikTeknik Elektro/Elektronik,Teknik(Teknik)Career,,79183148,"Job Description:1. Having experience for build data center construction and MEP2. Having knowledge of power, cabling and Electrical Installation (MV, LV), Lighting System, Earthing System, Pulling, Termination, QC Testing Electrical System, water distribution.3. Monitor team during installation and ensure all properly.3. Coordinate with stakeholder, contractor and vendor to ensure project running well4. Having knowledge about construction and MEP data center drawing.5. Ensure compliance with all safety regulations and quality standards.6. Prepare and present project reports to senior management.Requirement:1. Diploma or Bachelor degree Electrical Engineering min experience 2 years in data center2. Proven experience in managing large-scale construction projects, preferably in data centers.3. Strong leadership, organizational, and problem-solving skills.4. Excellent communication and negotiation abilities.5. Ability to work in a fast-paced environment and handle multiple projects simultaneously.6. Able to speak and write in English"
Data Analyst,PT Esha Parama Teknologi,Full,"Matematika, Statistik & Teknik InformasiMatematika, Statistik & Teknik Informasi",Sains,,79177916,"Job DescriptionExtracting data from various sources to various formats (database, BI Tools, Excel, etc.)Designing and implementing databasesCreating reports with appropriate visualizations to accommodate the information needs of internal and external usersIdentifying, analyzing, and interpreting dataProducing insights that are useful for businessPresenting analysis results and findingsExperienced in using Office, SQL, SQL Server, I Tools (Microstrategy, Power BI, Tableau, etc.), and statistical softwareAccustomed to querying, creating reports, and presentationsExperienced with big data tools is a plus"
Senior Data Warehouse Engineer (Indonesia),PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Full,"Matematika, Statistik & Teknik InformasiMatematika, Statistik & Teknik Informasi",Sains,,79184742,"About the RoleGojek is a data-driven organisation. Data has become the most critical part of its strategy to become the market leader through innovations and service excellence.As a Data Warehouse Developer, you’ll take a critical part in developing & maintaining our large-scale data environments that will be valuable for our main users to generate business insights, decision-making, deep analysis, and even data science products.You’ll have the opportunity to work with multiple cross-functional teams, such as product managers, BI analysts, product engineers, finance managers, marketers, IT security experts, etc. You’ll also have the opportunity to flex your Data Warehouse core skills, such as SQL, data modelling, data architecture, data governance, and data engineering, in a large-scale environment.One of our core values is a growth mindset. We’ll ensure that you learn a lot on this journey, which will be good for your career growth in the future.About the TeamOur Data Warehouse team is based in Jakarta, Bangalore & Gurgaon. Working alongside stakeholders, we are predominantly concerned with utilising and translating data into critical information that can be used to make sound business decisions. This includes gathering any new data points, and working closely with various business teams to capture, connect, and convert any data changes into useful knowledge in guiding our next steps to create a meaningful business impact.Our team works hard but plays hard, too. We mean the latter in a literal sense because we're a team full of musicians! We have 2 pianists, 1 guitarist, 1 drummer, more than 2 male singers, 1 female singer, 1 Rockstar, and 1 dangdut singer (yes, you read it right ). So, you best believe that we have several karaoke nights together! Even if you aren't musically inclined, no fear. We love bonding over card games (Werewolf is a team favourite) and even hosting mini-talent shows for our own entertainment. Join us and show your hidden skills!Handle an end-to-end data pipelines from heterogeneous input and output for analytical purposes.Design and implement scalable data models and architectures based on data types and use cases.Responsible for managing a single version of truth and turning data into critical information and knowledge that can be used to make sound business decisionsMonitor data quality, implement governance practices, and address data issues promptly.Define clear and well-scoped requirements documents, including specs and workflows, that are easily understood by technical and non-technical audiences.Work with data stakeholders (Product managers, product/business analysts, and product engineers) to ship data warehouse features and improve data products.Contribute to the product strategy and execute the prioritized roadmap.Mentoring & develop junior team members in the teamHave at least 4 years experience in data environment as Data Warehouse DeveloperAdvanced in SQL and data warehouse conceptsAdvanced in more than one programming language, especially Python or Go or JavaHave experiences working with batch / real-time data processing, data modeling concepts, and implementationHave experiences working in GCP data environment such as GCS & BigQueryAnalytical and data-driven, you love digging into the data to understand what’s happening and define & measure success on every projectStrong communication skills to collaborate with cross-functional teams."
Data Analyst,Pengiklan Anonim,Full,"Matematika, Statistik & Teknik InformasiMatematika, Statistik & Teknik Informasi",Sains,"6.000.000, 9.000.000",79159316,"Deskripsi Pekerjaan:Mengolah data dan menyajikan laporan untuk management & userMenganalisis dan menafsirkan kumpulan data yang berkaitan dengan bisnis perusahaanMenganalisa data untuk pendukung pengambilan keputusanBerkoordinasi dengan divisi lain untuk menghasilkan laporan yang dibutuhkanMembantu menerjemahkan data ke dalam visualisasi, metrik, dan tujuanKualifikasi:Pendidikan minimalS1 Jurusan Statistik/ Matematika (IPK minimal 3.00)Berpengalaman bekerja minimal 1 tahun sebagai Data Analis (bidang Retail lebih disukai)Mengoperasikan Microsoft ExcelKemampuan riset dan analisa yang tajamTeliti, cekatan, jujur, dan pekerja kerasBerpikir kritis saat memecahkan berbagai solusi dari permasalahan yang adaBerpikir logis dengan memanfaatkan berbagai metode"
Data Analyst Staff,PT Global Jet Cargo,Full,Pengembangan & Administrasi DatabasePengembangan & Administrasi Database,Teknologi,,79110318,"Job DescriptionCollecting and interpreting dataAnalysing resultsReporting the results back to the relevant members of the businessIdentifying patterns and trends in data setsWorking alongside teams within the business or the management team to establish business needsDefining new data collection and analysis processesRequirementsStrong mathematical & numeracy skills.Excellent in Microsoft ExcelIntermediate understanding of databases such as SQL Server, Oracle and SAP.Excellent analytical skills - the ability to identify trends, patterns and insights from data.Strong attention to detailUnderstanding of reporting & data visualisation tools such as Business Objects, PowerBI and Tableau."
Data Analyst,PT Cobra Dental Indonesia,Kontrak,"Matematika, Statistik & Teknik InformasiMatematika, Statistik & Teknik Informasi",Sains,,79058855,"Sebagai seorang Data Analyst, Anda akan bertanggung jawab untuk mengumpulkan, mengolah, dan menganalisis data, termasuk menggunakan data tersebut untuk menghasilkan wawasan yang bermanfaat dalam proses pengambilan keputusan. Selain itu, Data Analyst diharapkan memberikan rekomendasi strategis yang dapat diterapkan untuk membantu mengarahkan pengembangan produk perusahaan. Posisi ini akan bekerja sama dengan berbagai departemen untuk memahami dan mengumpulkan data yang diperlukan.KualifikasiLulusan Sarjana di bidang Data Science, Statistik, Ilmu Komputer, Matematika, maupun bidang yang relevan.Memiliki pengalaman kerja 3 tahun sebagai Data Analyst maupun posisi serupa.Terbiasa dan berpengalaman dengan alat visualisasi dan pelaporan dataMenguasai alat dan bahasa analisis dataMemiliki kemampuan analitis yang baik untuk memahami dan menginterpretasikan data, serta pengalaman dalam menggunakan teknik statistik untuk analisis.Mampu berkomunikasi dengan baik, baik lisan maupun tulisan."
Data Entry KYC,PT Rajawali Berdikari Indonesia,Kontrak,Entri Data & Pengolahan KataEntri Data & Pengolahan Kata,Administrasi,,79129784,Menginput data ke dalam database milik perusahaanMemeriksa dan memastikan keakuratan data yang sudah diinput ke dalam databaseMelakukan penyesuaian informasi dan data yang tidak lengkapRequirement:Minimal lulusan SMA/SederajaratMemiliki SKCKMampu mengetik cepat (minimal 50 WPM)Memiliki kemampuan menganalisaBersedia bekerja secara shiftingMampu membedakan warna secara benar dan akurat
Data Scientist & Engineer,PT Tunas Sukses Mandiri,Full,"Matematika, Statistik & Teknik InformasiMatematika, Statistik & Teknik Informasi",Sains,,79145828,"Responsibilities:Maintain and optimize ETL processes using Python for end-to-end data pipelines.Manage MySQL databases on DigitalOcean servers.Scrape data from external sources and integrate it into internal systems.Monitor server and data performance using Grafana (MySQL & InfluxDB).Collaborate with teams to support their data needs and troubleshoot issues.Analyze data and generate reports to support business decisions.Requirements:Education: Bachelor’s degree in Computer Science, Data Science, Engineering, or a related field.Experience: 2+ years of experience in data engineering or a similar role.Strong experience with Python for ETL processes.Proficiency in MySQL database management.Familiarity with cloud platforms like DigitalOcean.Experience with data scraping tools and techniques.Knowledge of monitoring tools like Grafana.Good problem-solving and collaboration skill"
WALK IN INTERVIEW DATA ENTRY,PT Reycom Document Solusi,Full,Entri Data & Pengolahan KataEntri Data & Pengolahan Kata,Administrasi,,79132138,"Walk-In Interview!Join Our Dynamic Team!DIBUTUHKAN SEGERADATA ENTRY WILAYAH LEGIAN - BALISilahkanDATANG LANGSUNG DAN TEST KETIK DI LOKASI.🗓️Tanggal: 30 September - 01 Oktober 2024🕘Waktu: 09.00 – 14.00 WIB📍Lokasi: Jl. Nakula No.93 Legian Kec. Kuta Kab. Bandung, Balihttps://maps.app.goo.gl/b8jtSLeGSaqqGR439(Sebelah kiri Indomaret Nakula 93 atau sebelah kanan Notaris Richard)Kualifikasi:•Usia maksimal 35 tahun•Pendidikan minimal SMU/SMK•Dinamis, komunikatif dan bertanggung jawab•Dapat mengetik dengan cepat•Bersedia bekerja lembur untuk mencapai targetBring: Updated CV, copy ID, and enthusiasm!No need for an appointment—just walk in and impress us. Start your career journey with us today!Be a part of something great. See you there!"
